country,gdpcap,population
Monaco,185741.0,38682.0
Liechtenstein,165028.0,37910.0
Luxembourg,116640.0,604245.0
Macau,87209.0,631636.0
Bermuda,85748.0,62756.0
Switzerland,82797.0,8525611.0
Norway,81697.0,5337962.0
Cayman Islands,81125.0,64174.0
Isle of Man,80989.0,84077.0
Ireland,78806.0,4818690.0
Iceland,73191.0,336713.0
Qatar,68794.0,2781682.0
Singapore,64582.0,5757499.0
United States,62795.0,327096265.0
Denmark,61350.0,5752126.0
Australia,57374.0,24898152.0
Faroe Islands,55823.0,48497.0
Sweden,54608.0,9971638.0
Netherlands,53024.0,17059560.0
Austria,51462.0,8891388.0
Finland,50152.0,5522576.0
Hong Kong,48676.0,7371730.0
San Marino,48495.0,33785.0
Greenland,48182.0,56564.0
Germany,47603.0,83124418.0
Belgium,47519.0,11482178.0
Canada,46233.0,37074562.0
United Arab Emirates,43005.0,9630959.0
United Kingdom,42944.0,67141684.0
Andorra,42030.0,77006.0
New Zealand,41945.0,4743131.0
Israel,41715.0,8381516.0
France,41464.0,64990511.0
Japan,39290.0,127202192.0
Guam,35713.0,165768.0
Italy,34483.0,60627291.0
Kuwait,33994.0,4137312.0
Puerto Rico,31651.0,3039596.0
Brunei,31628.0,428963.0
Spain,30371.0,46692858.0
Malta,30098.0,439248.0
Cyprus,28690.0,1170125.0
Turks and Caicos Islands,27142.0,37665.0
Slovenia,26124.0,2077837.0
Aruba,25630.0,105845.0
Bahrain,24051.0,1569446.0
Portugal,23408.0,10256193.0
Saudi Arabia,23339.0,33702756.0
Estonia,23266.0,1322920.0
Northern Mariana Islands,23259.0,56882.0
Czech Republic,23079.0,10665677.0
Greece,20324.0,10522246.0
Curaçao,19568.0,162752.0
Slovakia,19443.0,5453014.0
Saint Kitts and Nevis,19275.0,52441.0
Lithuania,19153.0,2801264.0
Barbados,17949.0,286641.0
Latvia,17861.0,1928459.0
Uruguay,17278.0,3449285.0
Trinidad and Tobago,17130.0,1389843.0
Antigua and Barbuda,16727.0,96286.0
Seychelles,16434.0,97096.0
Oman,16415.0,4829473.0
Hungary,16162.0,9707499.0
Venezuela,16055.0,28887118.0
Chile,15923.0,18729160.0
Palau,15859.0,17907.0
Panama,15575.0,4176869.0
Poland,15421.0,37921592.0
Croatia,14910.0,4156405.0
French Polynesia,14324.0,277679.0
New Caledonia,12580.0,279993.0
Romania,12301.0,19506114.0
Costa Rica,12027.0,4999441.0
Argentina,11684.0,44361150.0
American Samoa,11467.0,55465.0
Malaysia,11373.0,31528033.0
Russia,11289.0,145734038.0
Mauritius,11239.0,1189265.0
Grenada,10641.0,111454.0
Saint Lucia,10566.0,181889.0
Maldives,10331.0,515696.0
Equatorial Guinea,10262.0,1308975.0
Nauru,9889.0,10670.0
Kazakhstan,9813.0,18319618.0
China,9771.0,1427647786.0
Mexico,9673.0,126190788.0
Turkey,9370.0,82340088.0
Bulgaria,9273.0,7051608.0
Brazil,8921.0,209469323.0
Montenegro,8844.0,627809.0
Cuba,8822.0,11338134.0
Lebanon,8270.0,6859408.0
Botswana,8259.0,2254068.0
Dominican Republic,8051.0,10627141.0
Gabon,7953.0,2119275.0
Dominica,7691.0,71625.0
Saint Vincent and the Grenadines,7361.0,110211.0
Thailand,7274.0,68863514.0
Serbia,7247.0,8802754.0
Libya,7242.0,6678559.0
Turkmenistan,6967.0,5850901.0
Peru,6941.0,31989260.0
Colombia,6668.0,49661048.0
South Africa,6374.0,57792518.0
Ecuador,6345.0,17084358.0
Belarus,6290.0,9452617.0
Fiji,6267.0,883483.0
Suriname,6234.0,575990.0
North Macedonia,6084.0,2082957.0
Bosnia and Herzegovina,6066.0,3323925.0
Namibia,5932.0,2448301.0
Iraq,5834.0,38433600.0
Paraguay,5822.0,6956066.0
Iran,5628.0,81800188.0
Jamaica,5354.0,2934847.0
Albania,5269.0,2882740.0
Guyana,4979.0,779006.0
Belize,4885.0,383071.0
Azerbaijan,4721.0,9949537.0
Georgia,4717.0,4002942.0
Guatemala,4549.0,17247849.0
Tonga,4364.0,110589.0
Jordan,4242.0,9965318.0
Armenia,4212.0,2951745.0
Samoa,4183.0,196129.0
Eswatini,4146.0,1136281.0
Mongolia,4122.0,3170216.0
Algeria,4115.0,42228408.0
Sri Lanka,4103.0,21228763.0
El Salvador,4058.0,6420746.0
Indonesia,3894.0,267670543.0
Marshall Islands,3788.0,58413.0
Tuvalu,3701.0,11508.0
Cape Verde,3635.0,543767.0
Bolivia,3549.0,11353142.0
Tunisia,3448.0,11565201.0
Angola,3432.0,30809787.0
Bhutan,3243.0,754388.0
Moldova,3227.0,4051944.0
Morocco,3222.0,36029093.0
Vanuatu,3124.0,292680.0
Philippines,3103.0,106651394.0
Ukraine,3095.0,44246156.0
Djibouti,3083.0,958923.0
Papua New Guinea,2730.0,8606323.0
Vietnam,2567.0,95545962.0
Egypt,2549.0,98423598.0
Laos,2543.0,7061507.0
Honduras,2500.0,9587522.0
Ghana,2202.0,28206728.0
Zimbabwe,2147.0,14438802.0
Solomon Islands,2138.0,652857.0
East Timor,2036.0,1267974.0
Nicaragua,2029.0,6465501.0
Nigeria,2028.0,195874683.0
India,2010.0,1352642280.0
São Tomé and Príncipe,2001.0,211028.0
Kenya,1711.0,51392565.0
Bangladesh,1698.0,161376708.0
Kiribati,1625.0,115847.0
Zambia,1540.0,17351708.0
Cameroon,1534.0,25216267.0
Uzbekistan,1532.0,32476244.0
Senegal,1522.0,15854323.0
Cambodia,1510.0,16249792.0
Pakistan,1482.0,212228286.0
Comoros,1415.0,832322.0
Myanmar,1326.0,53708320.0
Lesotho,1299.0,2108328.0
Kyrgyzstan,1281.0,6304030.0
Mauritania,1189.0,4403313.0
Tanzania,1061.0,56313438.0
Nepal,1034.0,28095714.0
Sudan,977.0,41801533.0
Yemen,944.0,28498683.0
Benin,902.0,11485044.0
Mali,900.0,19077749.0
Guinea,879.0,12414293.0
Haiti,868.0,11123178.0
Tajikistan,827.0,9100835.0
Guinea-Bissau,788.0,1874303.0
Rwanda,773.0,12301970.0
Ethiopia,772.0,109224414.0
Chad,728.0,15477729.0
Burkina Faso,715.0,19751466.0
Togo,679.0,7889093.0
Liberia,677.0,4818973.0
Uganda,643.0,42729036.0
Sierra Leone,534.0,7650150.0
Madagascar,528.0,26262313.0
Afghanistan,521.0,37171921.0
Mozambique,499.0,29496004.0
Central African Republic,476.0,4666368.0
Niger,414.0,22442822.0
Malawi,389.0,18143217.0
Somalia,315.0,15008226.0
Burundi,272.0,10524117.0
